"CID","MolecularFormula","MolecularWeight","ExactMass","MonoisotopicMass","IsotopeAtomCount","CovalentUnitCount","IsomericSMILES"
147325753,"C7H11IN2",250.08,249.99670,249.99670,0,1,"CC(C)(C1=NN(C=C1)C)I"
166642854,"C11H13Cl3",251.6,250.008283,250.008283,0,1,"CC(CCC1=CC=CC=C1Cl)(CCl)Cl"
166641400,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1=CC=C(C(=C1)/C(=C/C(=O)O)/C(F)(F)F)Cl"
166640595,"C10H9ClF2OS",250.69,250.0030701,250.0030701,0,1,"CC(=O)C(C1=CC(=C(C=C1)S)C(F)F)Cl"
166640591,"C10H9ClF2OS",250.69,250.0030701,250.0030701,0,1,"CC(=O)C(C1=CC(=CC(=C1)S)C(F)F)Cl"
166640553,"C10H9ClF2OS",250.69,250.0030701,250.0030701,0,1,"CC(=O)C(C1=C(C=CC(=C1)C(F)F)S)Cl"
166640551,"C10H9ClF2OS",250.69,250.0030701,250.0030701,0,1,"CC(=O)C(C1=C(C=C(C=C1)C(F)F)S)Cl"
166640497,"C10H9ClF2OS",250.69,250.0030701,250.0030701,0,1,"CC(=O)C(C1=C(C=CC=C1S)C(F)F)Cl"
166640493,"C10H9ClF2OS",250.69,250.0030701,250.0030701,0,1,"CC(=O)C(C1=C(C=CC(=C1)S)C(F)F)Cl"
166640484,"C10H9ClF2OS",250.69,250.0030701,250.0030701,0,1,"CC(=O)C(C1=C(C=C(C=C1)S)C(F)F)Cl"
166640475,"C10H9ClF2OS",250.69,250.0030701,250.0030701,0,1,"CC(=O)C(C1=C(C(=CC=C1)S)C(F)F)Cl"
131399562,"C10H9Cl2FO2",251.08,249.9963631,249.9963631,0,1,"CC(=O)C(C1=C(C=CC(=C1)OCF)Cl)Cl"
131399560,"C10H9Cl2FO2",251.08,249.9963631,249.9963631,0,1,"CC(=O)C(C1=C(C(=CC=C1)Cl)OCF)Cl"
131398694,"C10H9Cl2FO2",251.08,249.9963631,249.9963631,0,1,"CC(=O)C(C1=CC(=C(C=C1)OCF)Cl)Cl"
131398692,"C10H9Cl2FO2",251.08,249.9963631,249.9963631,0,1,"CC(=O)C(C1=C(C=C(C=C1)Cl)OCF)Cl"
131399563,"C10H9Cl2FO2",251.08,249.9963631,249.9963631,0,1,"CC(=O)C(C1=C(C=CC(=C1)Cl)OCF)Cl"
131399561,"C10H9Cl2FO2",251.08,249.9963631,249.9963631,0,1,"CC(=O)C(C1=C(C=C(C=C1)OCF)Cl)Cl"
131399559,"C10H9Cl2FO2",251.08,249.9963631,249.9963631,0,1,"CC(=O)C(C1=C(C=CC=C1Cl)OCF)Cl"
131398695,"C10H9Cl2FO2",251.08,249.9963631,249.9963631,0,1,"CC(=O)C(C1=CC(=CC(=C1)Cl)OCF)Cl"
131398693,"C10H9Cl2FO2",251.08,249.9963631,249.9963631,0,1,"CC(=O)C(C1=CC(=C(C=C1)Cl)OCF)Cl"
131398691,"C10H9Cl2FO2",251.08,249.9963631,249.9963631,0,1,"CC(=O)C(C1=C(C(=CC=C1)OCF)Cl)Cl"
166609415,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"COC1=C(C=C2C(=C1)C(=CO2)C(F)(F)F)Cl"
166609367,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"COC1=C(C2=C(C=C1)C(=CO2)C(F)(F)F)Cl"
166609366,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"COC1=CC2=C(C(=C1)Cl)C(=CO2)C(F)(F)F"
166609350,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"COC1=C(C=C2C(=C1)OC=C2C(F)(F)F)Cl"
166607870,"C6H13Cl2O4P",251.04,249.9928513,249.9928513,0,1,"CCOCCOCCOP(=O)(Cl)Cl"
166607506,"C10H7ClN4S",250.71,250.0079951,250.0079951,0,1,"CC1=NN(C=N1)C2=NC3=C(S2)C=C(C=C3)Cl"
166606987,"C12H11BrO",251.12,249.99933,249.99933,0,1,"C1C2C1(C2)C(=O)CC3=CC=C(C=C3)Br"
166533946,"C12H11BrO",251.12,249.99933,249.99933,0,1,"CCC1=CC(=C(C2=CC=CC=C21)Br)O"
166524070,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1=CC(=CC=C1C(C#CC(F)(F)F)(O)O)Cl"
166521031,"C6H13Cl2O4P",251.04,249.9928513,249.9928513,0,1,"C(COCCOCCOP(Cl)Cl)O"
166519289,"C12H11BrO",251.12,249.99933,249.99933,0,1,"C=CCOCC#CC1=CC(=CC=C1)Br"
166449778,"C12H8Cl2N2",251.11,250.0064537,250.0064537,0,1,"CN1C=C(C(=N1)C#C)C2=CC(=C(C=C2)Cl)Cl"
166430957,"C8H8ClFN2O2S",250.68,249.9979045,249.9979045,0,1,"CC1=CC(=C(S1)NC(=O)C(F)Cl)C(=O)N"
166419626,"C12H7FO3S",250.25,250.00999342,250.00999342,0,1,"C1OC2=C(O1)C(=C(C=C2)F)C3=CSC(=C3)C=O"
166367561,"C10H7ClN4S",250.71,250.0079951,250.0079951,0,1,"C1=C(N=CC2=NC(=CN21)N)C3=CSC=C3Cl"
75418063,"C8H11ClN2OS2",250.8,250.0001330,250.0001330,0,1,"CC(C)OC1=NN=C(S1)SC/C=C/Cl"
166161940,"C12H11BrO",251.12,249.99933,249.99933,0,1,"C=C1CC(C1)(C=O)C2=CC=C(C=C2)Br"
166137674,"C12H11BrO",251.12,249.99933,249.99933,0,1,"CC1=CC(=O)CCC2=C1C=C(C=C2)Br"
166129202,"C8H8Cl2N2O3",251.06,249.9911975,249.9911975,0,1,"COC1=C(N=C(N=C1Cl)CC(=O)OC)Cl"
166120117,"C10H7ClN4S",250.71,250.0079951,250.0079951,0,1,"CC1=CC2=C(S1)N=C(N=C2Cl)C3=CN=CN3"
166119930,"C10H7ClN4S",250.71,250.0079951,250.0079951,0,1,"CC1=CC2=C(S1)N=C(N=C2Cl)C3=CC=NN3"
166119872,"C10H7ClN4S",250.71,250.0079951,250.0079951,0,1,"CC1=CC2=C(S1)N=C(N=C2Cl)C3=CNN=C3"
166083794,"C8H6N6S2",250.3,250.00953656,250.00953656,0,1,"C1=CC(=NN2C1=NC=C2)SC3=NN=C(S3)N"
166071664,"C7H11IN2",250.08,249.99670,249.99670,0,1,"C=CN1CN(C=C1)CCI"
166068047,"C10H6N2O4S",250.23,250.00482785,250.00482785,0,1,"C1=CC=C(C=C1)C2=C(SC(=C2)[N+](=O)[O-])[N+](=O)[O-]"
165999307,"C8H5BClF3NO2-",250.39,250.0053957,250.0053957,0,1,"[B-](C1=C(C2=C(C=C1)OCC(=O)N2)Cl)(F)(F)F"
165999172,"C7H5BF5KO",250.02,249.9990672,249.9990672,0,2,"[B-](C1=CC(=C(C=C1OC)F)F)(F)(F)F.[K+]"
165996042,"C7H5BF5KO",250.02,249.9990672,249.9990672,0,2,"[B-](C1=C(C=CC(=C1F)OC)F)(F)(F)F.[K+]"
165995139,"C7H5BF5KO",250.02,249.9990672,249.9990672,0,2,"[B-](C1=CC(=C(C(=C1)F)F)OC)(F)(F)F.[K+]"
165995062,"C7H3BF3KN4",250.03,250.0039922,250.0039922,0,2,"[B-](C1=CN2C(=C(C=N2)C#N)N=C1)(F)(F)F.[K+]"
165994945,"C7H5BF5KO",250.02,249.9990672,249.9990672,0,2,"[B-](C1=C(C(=C(C=C1)F)OC)F)(F)(F)F.[K+]"
165994773,"C7H5BF5KO",250.02,249.9990672,249.9990672,0,2,"[B-](C1=C(C(=C(C=C1)OC)F)F)(F)(F)F.[K+]"
165992716,"C6H8BClF3KN2",250.50,250.0058221,250.0058221,0,2,"[B-](C1=C(C=NN1C(C)C)Cl)(F)(F)F.[K+]"
165986502,"C12H7FO3S",250.25,250.00999342,250.00999342,0,1,"C1=CC(=CC=C1C2=CSC(=C2C(=O)O)C=O)F"
165985788,"C7H5BF5KO",250.02,249.9990672,249.9990672,0,2,"[B-](C1=CC(=CC(=C1F)F)OC)(F)(F)F.[K+]"
165985060,"C7H5BF5KO",250.02,249.9990672,249.9990672,0,2,"[B-](C1=CC(=CC(=C1OC)F)F)(F)(F)F.[K+]"
165984693,"C7H5BF5KO",250.02,249.9990672,249.9990672,0,2,"[B-](C1=CC(=C(C(=C1)F)OC)F)(F)(F)F.[K+]"
165980515,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=C(C=NC=C1Br)C(CCN)(F)F"
165978510,"C9H11ClO4S",250.70,250.0066577,250.0066577,0,1,"CC1=C(C=C(C=C1)S(=O)(=O)Cl)OCOC"
165977856,"C9H5F3O3S",250.20,249.99114968,249.99114968,0,1,"C1C(C(=O)OC1=O)C2=CC=C(S2)C(F)(F)F"
165973176,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1C(C1(F)F)(C2=C(C(=CC=C2)Cl)F)C(=O)O"
165972870,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1C(C1(F)F)(C2=C(C=CC=C2Cl)F)C(=O)O"
165968252,"C12H11BrO",251.12,249.99933,249.99933,0,1,"C=CC(=O)C1(CC1)C2=CC=C(C=C2)Br"
165968209,"C12H11BrO",251.12,249.99933,249.99933,0,1,"COC1=C(C=CC(=C1)C2(CC2)C#C)Br"
165965248,"C7H7FN2O5S",250.21,250.00597066,250.00597066,0,1,"C1=CC(=C(C=C1COS(=O)(=O)N)F)[N+](=O)[O-]"
165965182,"C7H7FN2O5S",250.21,250.00597066,250.00597066,0,1,"C1=CC(=C(C=C1[N+](=O)[O-])F)COS(=O)(=O)N"
165956771,"C12H7FO3S",250.25,250.00999342,250.00999342,0,1,"C1=CC(=C(C=C1F)C=O)C2=CC=C(S2)C(=O)O"
165955614,"C7H10N2O4S2",250.3,250.00819915,250.00819915,0,1,"CC(C)S(=O)(=O)NC1=NC=C(S1)C(=O)O"
165951538,"C9H15BrOS",251.19,250.00270,250.00270,0,1,"CS(=O)CCC1(CC=CC1)CBr"
165950945,"C7H11BrN2O3",251.08,249.99530,249.99530,0,1,"COC(=O)[C@@H](CC1CC(=NO1)Br)N"
165949261,"C7H8Cl2N4O2",251.07,250.0024309,250.0024309,0,3,"C1=C(C2=C(C=N1)NN=C2N)C(=O)O.Cl.Cl"
165945527,"C12H11BrO",251.12,249.99933,249.99933,0,1,"COC1=CC(=C(C=C1)C2(CC2)C#C)Br"
165917087,"C7H11BrN2O3",251.08,249.99530,249.99530,0,1,"COC(=O)[C@H](C[C@@H]1CC(=NO1)Br)N"
165917086,"C7H11BrN2O3",251.08,249.99530,249.99530,0,1,"COC(=O)[C@H](C[C@H]1CC(=NO1)Br)N"
165909444,"C7H11BrN2O3",251.08,249.99530,249.99530,0,1,"COC(=O)[C@H](CC1CC(=NO1)Br)N"
165909443,"C7H11BrN2O3",251.08,249.99530,249.99530,0,1,"COC(=O)[C@@H](C[C@@H]1CC(=NO1)Br)N"
165885056,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1C(C1(F)F)(C2=C(C=C(C=C2)F)Cl)C(=O)O"
165884962,"C7H7FN2O5S",250.21,250.00597066,250.00597066,0,1,"C1=CC(=C(C(=C1)F)COS(=O)(=O)N)[N+](=O)[O-]"
165875518,"C7H10ClF3O2S",250.67,250.0042129,250.0042129,0,1,"C1CC1(CCCC(F)(F)F)S(=O)(=O)Cl"
165871659,"C7H11BrF4",251.06,249.99803,249.99803,0,1,"CC(C)(CC(C(F)F)(F)F)CBr"
165870482,"C9H5F3O3S",250.20,249.99114968,249.99114968,0,1,"C1C(=CC2=C(O1)C(=CC(=C2)F)F)S(=O)(=O)F"
165868886,"C9H11ClO4S",250.70,250.0066577,250.0066577,0,1,"CCOC1=C(C(=CC=C1)S(=O)(=O)Cl)OC"
165842460,"C10H6F4OS",250.21,250.00754863,250.00754863,0,1,"C1C(SC2=C(C1=O)C=C(C=C2)F)C(F)(F)F"
165835595,"C7H10N2O4S2",250.3,250.00819915,250.00819915,0,1,"CCCS(=O)(=O)NC1=NC=C(S1)C(=O)O"
165834546,"C9H11ClO4S",250.70,250.0066577,250.0066577,0,1,"C1=C(OC(=C1)Cl)CSCCOCC(=O)O"
165833079,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1C(C1(F)F)(C2=C(C=CC(=C2)Cl)F)C(=O)O"
165801738,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=C(C=NC(=C1C(CCN)F)F)Br"
165798975,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"CC(C1=NC=C(C=C1)Br)(C(F)F)N"
165798829,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"CC(C1=CN=C(C=C1)Br)(C(F)F)N"
165798543,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=NC=C1C(CCN)(F)F)Br"
165798246,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=C(N=C1)Br)C(CCN)(F)F"
165798126,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CN=CC(=C1C(CN)C(F)F)Br"
165797411,"C8H5F3N2O2S",250.20,250.00238307,250.00238307,0,1,"C1=CC2=C(C=C1C(F)(F)F)C(=NS2(=O)=O)N"
165797409,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=NC=C1Br)C(CN)C(F)F"
165797380,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=C(C=NC=C1Br)CC(CN)(F)F"
165797048,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=NC=C1C(CN)C(F)F)Br"
165796821,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=NC=C1Br)C(CCN)(F)F"
165796738,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CN=CC(=C1CC(C(F)F)N)Br"
165796323,"C12H7FO3S",250.25,250.00999342,250.00999342,0,1,"C1=CC(=C(C=C1C=O)C2=CC=C(S2)C(=O)O)F"
165796236,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"CC(C1=C(N=CC=C1)Br)(C(F)F)N"
165796221,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"CC(C1=CC(=CN=C1)Br)(C(F)F)N"
165796103,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=NC=C1CC(CN)(F)F)Br"
165795805,"C12H11BrO",251.12,249.99933,249.99933,0,1,"C1CC2(CC2)C3=C(C1=O)C=CC(=C3)Br"
165795594,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CN=CC(=C1CC(CN)(F)F)Br"
165794588,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"CC(C1=C(C=CC=N1)Br)(C(F)F)N"
165794421,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=C(C=NC=C1Br)C(CN)C(F)F"
165794280,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=NC=C1CC(C(F)F)N)Br"
165794270,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"CC(C1=NC(=CC=C1)Br)(C(F)F)N"
165793265,"C7H11BrF4",251.06,249.99803,249.99803,0,1,"CC(C)(CC(C(F)(F)F)F)CBr"
165791715,"C12H7FO3S",250.25,250.00999342,250.00999342,0,1,"C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)S(=O)(=O)F"
165787842,"C10H9ClF2OS",250.69,250.0030701,250.0030701,0,1,"C1CC(C=CC1(C2=C(C=CS2)Cl)O)(F)F"
165777970,"C12H11BrO",251.12,249.99933,249.99933,0,1,"C1CC1(/C=C/C=O)C2=CC=C(C=C2)Br"
165755145,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C=C(C1=C(C=C(C=C1)Cl)C(F)(F)F)C(=O)O"
165754943,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C=C(C1=CC(=C(C=C1)C(F)(F)F)Cl)C(=O)O"
165754284,"C7H11BrN2O3",251.08,249.99530,249.99530,0,1,"COC(=O)[C@@H](C[C@H]1CC(=NO1)Br)N"
165753567,"C7H7FN2O5S",250.21,250.00597066,250.00597066,0,1,"COC1=C(C=C(C(=C1)F)[N+](=O)[O-])S(=O)(=O)N"
165752974,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"CC(C1=C(C=NC=C1)Br)(C(F)F)N"
165752285,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=NC(=C1)Br)CC(CN)(F)F"
165750115,"C6H11BrN4O2",251.08,250.00654,250.00654,0,1,"COCCOCN1C(=NC(=N1)N)Br"
165749122,"C12H11BrO",251.12,249.99933,249.99933,0,1,"C1CC2(CC1C2=O)C3=CC=C(C=C3)Br"
165743683,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=C(N=C1)C(CN)C(F)F)Br"
165743131,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=NC(=C1)Br)CC(C(F)F)N"
165720760,"C5H3F9O",250.06,250.00401817,250.00401817,0,1,"[C@@H](C(C(F)(F)F)C(F)(F)F)(C(F)(F)F)O"
165719289,"C9H11ClO4S",250.70,250.0066577,250.0066577,0,1,"CC1=CC(=C(C=C1)S(=O)(=O)Cl)OCOC"
165713246,"C12H11BrO",251.12,249.99933,249.99933,0,1,"COC1=C(C(=CC=C1)Br)C2(CC2)C#C"
165702531,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1C(C1(F)F)(C2=CC(=C(C=C2)F)Cl)C(=O)O"
165701843,"C7H7FN2O5S",250.21,250.00597066,250.00597066,0,1,"C1=CC(=C(C=C1COS(=O)(=O)N)[N+](=O)[O-])F"
165698723,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1=CC=C2C(=C1)C(=C(O2)Cl)[C@@H](C(F)(F)F)O"
165697863,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=C(N=C1)Br)C(CN)C(F)F"
165695345,"C12H11BrO",251.12,249.99933,249.99933,0,1,"COC1=C(C=CC=C1Br)C2(CC2)C#C"
165691525,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=NC(=C1)Br)C(CN)C(F)F"
165689969,"C12H11BrO",251.12,249.99933,249.99933,0,1,"COC1=CC(=C(C=C1)Br)C2(CC2)C#C"
165689195,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1=CC=C2C(=C1)C(=C(O2)Cl)[C@H](C(F)(F)F)O"
165687549,"C7H4F6O3",250.09,250.00646296,250.00646296,0,1,"C1C(C(=O)OC1=O)C(C(F)(F)F)C(F)(F)F"
165686246,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1C(C1(F)F)(C2=C(C=CC(=C2)F)Cl)C(=O)O"
165679554,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=NC=C1Br)CC(CN)(F)F"
165676851,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1=CC(=C(C=C1/C=C/C=O)Cl)OC(F)(F)F"
165676307,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1C(C1(F)F)(C2=C(C(=CC=C2)F)Cl)C(=O)O"
165674421,"C12H11BrO",251.12,249.99933,249.99933,0,1,"C1=CC=C2C(=C1)C=CC(=C2CCBr)O"
165669860,"C7H7FN2O5S",250.21,250.00597066,250.00597066,0,1,"C1=CC(=C(C=C1F)COS(=O)(=O)N)[N+](=O)[O-]"
165658598,"C12H11BrO",251.12,249.99933,249.99933,0,1,"COC1=C(C=C(C=C1)Br)C2(CC2)C#C"
165658208,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1C(C1(F)F)(C2=CC(=CC(=C2)Cl)F)C(=O)O"
165657073,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1C(C1(F)F)(C2=CC(=C(C=C2)Cl)F)C(=O)O"
165654784,"C12H11BrO",251.12,249.99933,249.99933,0,1,"CC1=CC=C(C=C1)C2=CC=C(O2)CBr"
165652452,"C12H11BrO",251.12,249.99933,249.99933,0,1,"COC1=C(C=CC(=C1)Br)C2(CC2)C#C"
165650632,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CN=CC(=C1C(CCN)(F)F)Br"
165650374,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"CN1C=C(C(=N1)C(F)F)C(=C)CBr"
165649262,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1C(C1(F)F)(C2=C(C=C(C=C2)Cl)F)C(=O)O"
165647220,"C12H11BrO",251.12,249.99933,249.99933,0,1,"COC1=C(C=C(C=C1)C2(CC2)C#C)Br"
165646221,"C12H11BrO",251.12,249.99933,249.99933,0,1,"CC1=C(OC2=CC=CC=C12)C(=C)CBr"
165643423,"C12H11BrO",251.12,249.99933,249.99933,0,1,"COC1=CC=CC(=C1Br)C2(CC2)C#C"
165637753,"C7H7FN2O5S",250.21,250.00597066,250.00597066,0,1,"C1=CC(=C(C(=C1)[N+](=O)[O-])F)COS(=O)(=O)N"
165635823,"C7H7FN2O5S",250.21,250.00597066,250.00597066,0,1,"C1=CC(=C(C=C1[N+](=O)[O-])COS(=O)(=O)N)F"
165635383,"C5H3F9O",250.06,250.00401817,250.00401817,0,1,"C(C(F)F)(C(C(C(F)(F)F)(F)F)(F)F)O"
165633162,"C9H5F3O3S",250.20,249.99114968,249.99114968,0,1,"C1=CC(=CC(=C1)SC(F)(F)F)C(=O)C(=O)O"
165632977,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C=CC(=O)C1=CC(=C(C=C1)OC(F)(F)F)Cl"
165632896,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C=C(C1=CC(=CC(=C1)Cl)C(F)(F)F)C(=O)O"
165632857,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C=C(C1=C(C=CC=C1Cl)C(F)(F)F)C(=O)O"
165632269,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=C(N=C1)C(CCN)(F)F)Br"
165632262,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=C(N=C1)CC(CN)(F)F)Br"
165631786,"C5H3F9O",250.06,250.00401817,250.00401817,0,1,"[C@H](C(C(F)(F)F)C(F)(F)F)(C(F)(F)F)O"
165631464,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C=C(C1=CC(=C(C=C1)Cl)C(F)(F)F)C(=O)O"
165631061,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=NC(=C1)Br)C(CCN)(F)F"
165630992,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=C(N=C1)Br)CC(C(F)F)N"
165630983,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=C(N=C1)Br)CC(CN)(F)F"
165629591,"C10H6ClF3O2",250.60,250.0008416,250.0008416,0,1,"C1=CC=C2C(=C1)C(=C(O2)Cl)C(C(F)(F)F)O"
150694112,"C9H11ClO4S",250.70,250.0066577,250.0066577,0,1,"CC1=CC(=C(C(=C1)OC)S(=O)(=O)Cl)OC"
126983189,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1=CC(=C(N=C1)CC(C(F)F)N)Br"
165603427,"C12H11BrO",251.12,249.99933,249.99933,0,1,"CC1=CC(=C(C=C1)/C=C/C(=O)C=C)Br"
165593467,"C7H11IN2",250.08,249.99670,249.99670,0,1,"CC1=C(C(=NN1)C(C)C)I"
165592218,"C9H5F3O5",250.13,250.00890774,250.00890774,0,1,"C1=C(C(=C(C(=C1F)F)OCC(=O)O)F)C(=O)O"
165590978,"C8H9BrF2N2",251.07,249.99172,249.99172,0,1,"C1C(CC1(F)F)CN2C=C(N=C2)Br"
165590458,"C7H7FN2O5S",250.21,250.00597066,250.00597066,0,1,"COC1=C(C=C(C=C1F)S(=O)(=O)N)[N+](=O)[O-]"
165534564,"C12H7FO3S",250.25,250.00999342,250.00999342,0,1,"C1=CC(=C(C(=C1)F)C=O)C2=C(SC=C2)C(=O)O"
165530077,"C13H8Cl2O",251.10,249.9952203,249.9952203,0,1,"C1=CC=C(C=C1)C2=CC(=C(C=C2)Cl)C(=O)Cl"
165525651,"C12H11BrO",251.12,249.99933,249.99933,0,1,"C1CC2(CC2)C3=C(C1=O)C(=CC=C3)Br"
